,hair?,feathers?,lays eggs?,milk?,airborne?,aquatic?,predator?,toothed?,backbone?,breathes?,venemous?,fins?,catsize?,brown?,bigger than a car?
bass,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0
chicken,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0
elephant,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1
hawk,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0
lion,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0
penguin,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0
platypus,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0
reindeer,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0
seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0
squirrel,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0
starfish,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
termite,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
